,rating_label
6222,0
1373,2
6994,1
8144,0
1409,2
342,1
4940,2
4076,1
78,1
3642,2
6672,2
7087,2
1400,2
547,0
962,2
751,0
8689,2
1555,0
121,1
3706,2
796,2
5338,1
2520,2
3564,1
6385,0
5863,1
1464,1
8699,1
3723,2
621,1
8561,2
3794,2
6933,0
438,0
4127,2
4426,1
8803,0
1191,1
5814,1
4311,0
4829,1
2360,2
3625,2
3616,1
4347,2
5177,2
8331,0
5915,2
7170,1
760,0
3710,2
5629,1
4066,2
3230,2
8080,2
275,2
4486,2
2618,2
4070,0
392,2
7331,0
1934,1
1027,2
4340,0
444,1
2488,1
4570,2
446,1
6982,2
3572,2
5847,2
5771,0
1928,2
331,2
8702,0
6679,0
1698,2
8391,1
3453,0
1553,2
4629,2
6685,0
4321,2
6768,1
3910,2
148,1
7859,2
3936,2
5119,2
3916,1
7718,1
3468,0
1716,2
4552,2
8107,1
2096,2
6926,1
5817,1
4899,1
4869,0
3982,2
6347,0
3738,0
1455,0
5108,2
3751,1
2431,0
8572,1
6168,1
7229,0
5016,2
8244,2
281,1
2018,0
5245,0
3025,2
6138,2
404,2
5496,0
7874,1
4377,2
1609,0
4021,2
953,2
2572,1
6286,2
171,1
1604,2
4181,2
5787,2
4153,1
3326,2
3741,1
8645,2
6962,2
6073,1
6353,1
8362,2
1752,0
3070,2
5490,2
5045,0
7814,1
6684,2
636,1
7799,2
4682,2
2782,2
8428,2
8386,2
279,0
6820,1
5046,1
1931,2
6453,0
3479,0
3593,1
1992,2
6542,2
7085,2
3739,1
4585,0
7194,1
8619,0
6842,1
3384,1
2312,2
3435,0
6350,1
6390,1
1264,2
8328,1
5605,2
4436,2
61,0
3243,2
6749,0
7946,2
2044,1
3075,2
4379,1
8177,2
1312,2
613,2
2392,2
1472,1
1249,2
4578,1
488,1
7657,0
3096,2
5574,1
4538,2
3758,2
3341,1
5547,1
5750,1
2859,2
7453,1
6809,1
8686,2
3192,2
301,1
7127,1
4956,1
8438,2
1578,0
380,1
8656,2
3765,0
1507,0
520,2
3602,2
8381,1
693,1
3278,1
7581,1
6775,1
1335,2
1417,2
1820,1
350,1
3318,0
2208,0
6915,2
4468,2
3403,0
443,2
947,1
8125,0
904,2
7723,2
3310,0
4852,0
623,2
8466,0
8065,1
4352,0
202,2
1362,0
8535,2
8759,0
3526,2
5918,1
2514,0
2329,2
253,1
1759,0
5237,0
6099,2
1140,2
7676,2
7448,2
6415,2
5626,2
2305,2
4588,1
5549,1
3510,1
4330,2
5302,2
2388,0
3438,1
1109,2
173,1
1011,1
5107,2
4638,2
7706,1
7694,2
2248,1
4540,2
569,1
179,1
46,2
4781,1
8020,2
4724,1
7960,1
146,2
8529,1
6801,2
2666,2
4848,2
6666,1
8145,1
5211,2
686,1
2745,2
3101,2
1618,0
804,2
4582,1
6783,1
6110,2
1523,1
6029,1
3692,0
6740,2
2453,2
2350,2
6788,2
4710,1
6459,1
1906,1
6141,2
8152,0
2313,1
4628,1
8119,2
7740,0
4296,2
1081,0
7305,2
3159,1
8449,1
6356,2
4240,2
731,1
5004,2
3729,2
3517,0
5288,2
4633,0
454,2
3074,2
8497,1
7753,2
8086,0
7566,2
2007,1
3087,1
4407,0
8668,2
2067,1
8232,1
4846,2
3694,0
4639,2
2784,1
3959,1
494,2
5071,1
351,2
4793,1
6576,2
2146,1
8036,2
2733,1
7738,1
798,2
7242,0
5335,1
4951,2
680,2
2591,1
7949,1
8451,1
3064,0
3133,1
3154,1
6560,2
3235,2
7120,0
1840,2
5236,0
5882,0
7561,2
8004,2
5021,1
8545,1
2473,1
6308,1
7108,0
698,2
789,1
6239,0
5728,1
231,1
4564,1
7487,2
5687,2
3764,0
4539,2
8218,2
4525,2
3120,2
6944,1
6678,2
3767,0
5884,2
7077,2
4837,1
7638,1
1614,0
1360,2
203,2
4487,1
1364,1
3268,1
495,2
2375,1
4095,2
4131,1
1112,1
882,0
3990,1
4411,1
7700,2
3194,2
5512,2
7205,2
1886,1
2112,1
3152,2
4731,1
1855,1
5607,2
6802,0
20,1
5744,2
8542,2
8228,1
6701,2
3867,2
4911,2
3057,0
6274,2
4224,2
5372,2
1905,2
7054,0
5052,2
7785,0
132,2
4544,2
1594,2
545,0
386,0
5879,1
6955,1
7713,1
1529,1
667,1
5631,2
2364,0
223,2
7059,1
1916,1
7507,2
7763,0
719,0
5743,2
451,1
514,2
7133,1
1534,2
560,1
5264,2
3974,0
2124,2
3328,2
4115,2
4045,2
3876,1
530,0
2361,1
7122,2
5868,2
6905,1
1130,1
7605,1
8444,0
2011,0
4456,1
5980,1
130,0
1097,2
6756,1
6723,1
6784,0
5703,1
3116,1
1148,0
4023,1
3790,2
1622,2
6904,2
1116,0
6089,1
8231,1
8159,1
3791,2
3988,0
2244,2
1020,1
4177,1
375,1
6236,0
562,1
1986,1
4659,2
3470,0
7679,0
3838,2
6039,2
2411,1
2108,2
1754,1
1321,2
8396,2
4040,2
8158,1
6008,1
7322,1
7365,2
616,2
6452,2
872,2
5032,2
5716,2
7025,2
5953,0
2762,2
7497,0
6370,1
2676,2
3909,0
3555,0
3428,2
7555,2
91,1
3269,2
6475,2
3150,2
2491,1
774,1
1845,2
4126,1
6144,2
4152,1
749,2
2412,2
7183,1
6919,1
742,2
5835,2
7339,1
5555,2
2943,2
8550,1
6803,0
3560,2
7203,1
1368,2
877,2
1865,1
3490,0
1672,0
2540,2
6936,0
3750,2
4079,2
6690,0
627,1
7429,2
5866,1
7471,1
8801,2
7422,1
8520,1
7678,2
2649,1
1485,1
1956,2
3414,1
2148,1
7587,1
7844,1
5890,2
2285,1
6357,0
2638,1
4839,1
8472,0
7401,1
6323,1
3709,0
6694,1
7287,0
4720,0
3095,2
5334,2
965,2
6502,2
6411,2
6315,2
6344,2
812,2
2393,2
8785,0
1937,1
5693,1
2915,0
2654,2
593,1
4696,0
8596,0
5615,2
956,2
7128,2
2039,2
7245,1
6272,1
4567,1
7640,1
6488,2
4410,2
295,1
8628,1
4859,2
8388,1
442,0
3893,2
6180,1
875,2
5880,2
7569,0
6265,2
7829,0
415,0
4579,1
69,0
3561,2
6855,1
1700,1
5514,2
3437,1
6580,1
2512,0
2755,2
4034,2
7052,2
8372,1
4565,1
1428,2
111,0
5932,1
1704,0
4691,1
2216,0
4728,0
7707,0
2293,2
7952,1
7961,2
5970,1
566,1
2721,1
6520,1
1300,2
3085,0
8369,1
4064,2
4711,1
2500,2
4285,2
2834,2
821,2
8774,1
8680,1
617,2
901,0
5622,2
5143,1
2906,2
276,2
5399,1
3743,2
3680,0
7589,0
8243,1
1059,2
656,2
570,1
5637,2
8114,1
7436,0
4272,1
5115,0
5082,2
6331,2
2882,2
8715,2
3356,2
6673,2
6583,2
6201,2
5720,2
3513,0
7690,1
6535,2
784,2
